,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
89,HKG,Hong Kong,3955000000,4979000000,5839000000,6731000000,7132000000,7400000000,7501000000,7489000000,1104,6783.3922,1.0,0.09,104
90,HUN,Hungary,10315000000,10699000000,10376000000,10202000000,9987000000,9844000000,9751000000,9967000000,93028,107.1431,1.03,0.12,94
91,ISL,Iceland,204000000,228000000,255000000,281000000,318000000,331000000,367000000,373000000,103000,3.6204,1.01,0.0,179
92,IND,India,557501000000,696828000000,870452000000,1059634000000,1240614000000,1322867000000,1396387000000,1417173000000,3287590,431.0675,1.01,17.77,2
93,IDN,Indonesia,115228000000,148177000000,182160000000,214072000000,244016000000,259092000000,271858000000,275501000000,1904569,144.6529,1.01,3.45,4
94,IRN,Iran,28450000000,38521000000,55794000000,65544000000,75374000000,81791000000,87290000000,88551000000,1648195,53.7258,1.01,1.11,17
95,IRQ,Iraq,9811000000,13653000000,17658000000,24629000000,31265000000,37758000000,42557000000,44496000000,438317,101.5158,1.02,0.56,35
96,IRL,Ireland,2938000000,3391000000,3485000000,3769000000,4525000000,4666000000,4946000000,5023000000,70273,71.4799,1.01,0.06,125
97,IMN,Isle of Man,55000000,64000000,69000000,76000000,84000000,84000000,84000000,85000000,572,147.7605,1.0,0.0,202
98,ISR,Israel,2907000000,3745000000,4803000000,6117000000,7328000000,8008000000,8757000000,9038000000,20770,435.1617,1.02,0.11,98
99,ITA,Italy,53324000000,56329000000,56757000000,56966000000,59822000000,60233000000,59501000000,59037000000,301336,195.9191,1.0,0.74,25
100,CIV,Ivory Coast,5477000000,8304000000,11911000000,16800000000,21120000000,23597000000,26812000000,28161000000,322463,87.3295,1.02,0.35,52
101,JAM,Jamaica,1859000000,2136000000,2392000000,2612000000,2734000000,2794000000,2820000000,2827000000,10991,257.2447,1.0,0.04,139
102,JPN,Japan,105417000000,117624000000,123686000000,126804000000,128105000000,127251000000,125245000000,123952000000,377930,327.9753,0.99,1.55,11
103,JEY,Jersey,68000000,75000000,83000000,86000000,96000000,101000000,108000000,111000000,116,954.9828,1.01,0.0,195
104,JOR,Jordan,1557000000,2217000000,3481000000,5056000000,6931000000,9494000000,10929000000,11286000000,89342,126.3221,1.01,0.14,83
105,KAZ,Kazakhstan,12265000000,14173000000,16867000000,15236000000,16628000000,17836000000,18979000000,19398000000,2724900,7.1188,1.01,0.24,66
106,KEN,Kenya,11473000000,16187000000,23162000000,30852000000,41518000000,46851000000,51986000000,54027000000,580367,93.0919,1.02,0.68,27
107,KIR,Kiribati,57000000,61000000,75000000,89000000,108000000,117000000,126000000,131000000,811,161.815,1.02,0.0,192
108,KWT,Kuwait,803000000,1494000000,1675000000,1935000000,2943000000,3909000000,4360000000,4269000000,17818,239.5821,1.0,0.05,129
109,KGZ,Kyrgyzstan,3016000000,3691000000,4395000000,4935000000,5484000000,5915000000,6425000000,6631000000,199951,33.1612,1.02,0.08,110
110,LAO,Laos,2675000000,3298000000,4314000000,5431000000,6323000000,6787000000,7319000000,7529000000,236800,31.7968,1.01,0.09,103
111,LVA,Latvia,2397000000,2572000000,2689000000,2393000000,2102000000,1992000000,1897000000,1851000000,64559,28.666,0.99,0.02,151
112,LBN,Lebanon,2382000000,2964000000,3594000000,4321000000,4996000000,6399000000,5663000000,5490000000,10452,525.2334,0.98,0.07,119
113,LSO,Lesotho,1023000000,1408000000,1799000000,1999000000,2023000000,2119000000,2254000000,2306000000,30355,75.962,1.01,0.03,147
114,LBR,Liberia,1464000000,1932000000,2210000000,2895000000,4020000000,4612000000,5088000000,5303000000,111369,47.6136,1.02,0.07,121
115,LBY,Libya,1909000000,2963000000,4237000000,5155000000,6492000000,6192000000,6654000000,6812000000,1759540,3.8717,1.01,0.09,107
116,LIE,Liechtenstein,21000000,25000000,29000000,33000000,36000000,37000000,39000000,39000000,160,245.7937,1.01,0.0,216
117,LTU,Lithuania,3210000000,3521000000,3786000000,3600000000,3139000000,2964000000,2820000000,2750000000,65300,42.1142,0.99,0.03,141
